CanonicalName,Category,Synonyms
Regression Testing,Quality,regressionstest
UAT,Quality,
Logistics,Logistics,logistik
Supply Chain,Logistics,forsyningskæde
Supply Chain Management,Logistics,supply chain management|scm
Demand Planning,Logistics,behovsstyring
Inventory Management,Logistics,lagerhåndtering
Warehouse Operations,Logistics,lager|lagerarbejde|lagermedarbejder
Warehouse Management,Logistics,lagerstyring
WMS,Logistics,wms
Order Fulfillment,Logistics,ordrehåndtering
Shipping,Logistics,forsendelse
Receiving,Logistics,modtagelse
Distribution,Logistics,distribution
Transportation Management,Logistics,transportledelse
Fleet Management,Logistics,flådestyring
Route Planning,Logistics,rute planlægning
Last Mile Delivery,Logistics,
Freight,Logistics,fragthåndtering
Import/Export,Logistics,import eksport
Customs,Logistics,told
Incoterms,Logistics,
Forklift Operation,Logistics,truck|truckkort|gaffeltruck
Pallet Jack,Logistics,palleløfter
Picker Packer,Logistics,plukker
Driving,Transport,kørsel
Commercial Driving,Transport,
CDL,Transport,
Truck Driving,Transport,lastbilchauffør
Delivery,Transport,levering
Courier,Transport,bud
Health & Safety,Safety,arbejdsmiljø|hse
Occupational Health,Safety,ohs
Safety Training,Safety,sikkerhedstræning
Risk Assessment,Safety,risikovurdering
Incident Investigation,Safety,
OSHA,Safety,
PPE,Safety,
Ergonomics,Safety,
First Aid,Safety,førstehjælp|firstaid
CPR,Safety,hjerte-lungeredning|hjertelungeredning
AED,Safety,hjertestarter
Emergency Response,Safety,nødberedskab
Fire Safety,Safety,brandsikkerhed
Nursing,Healthcare,sygepleje
Registered Nurse,Healthcare,sygeplejerske|rn
Licensed Practical Nurse,Healthcare,ssu
Nurse Practitioner,Healthcare,
Patient Care,Healthcare,patientpleje|patientcare
Patient Assessment,Healthcare,
Medication Administration,Healthcare,
IV Therapy,Healthcare,
Wound Care,Healthcare,
Vital Signs,Healthcare,
Electronic Health Records,Healthcare,epj|ehr
Epic,Healthcare,
Cerner,Healthcare,
Caregiving,Healthcare,omsorg|care giver|caregiver|sosu
Home Care,Healthcare,hjemmepleje
Elder Care,Healthcare,ældrepleje
Disability Support,Healthcare,handicaphjælp
Personal Care,Healthcare,personlig pleje
Phlebotomy,Healthcare,blodprøvetagning
Blood Collection,Healthcare,venepunktur
Lab Work,Healthcare,laboratoriearbejde
Medical Billing,Healthcare,pharma billing|med billing
Medical Coding,Healthcare,medicinsk kodning
ICD-10,Healthcare,
CPT Coding,Healthcare,
Healthcare Administration,Healthcare,sundhedsadministration
Health Insurance,Healthcare,
Claims Processing,Healthcare,
Dental,Healthcare,
Dental Hygiene,Healthcare,
Dental Assisting,Healthcare,
Physical Therapy,Healthcare,
Occupational Therapy,Healthcare,
Speech Therapy,Healthcare,
Radiology,Healthcare,
X-Ray,Healthcare,
MRI,Healthcare,
CT Scan,Healthcare,
Ultrasound,Healthcare,
Pharmacy,Healthcare,
Pharmaceutical,Healthcare,
Clinical Research,Healthcare,
Clinical Trials,Healthcare,
Regulatory Affairs,Healthcare,
FDA,Healthcare,
Accounting,Finance,regnskab
Financial Accounting,Finance,
Management Accounting,Finance,
Cost Accounting,Finance,
Tax Accounting,Finance,
Bookkeeping,Finance,bogholderi|book-keeping
Accounts Payable,Finance,kreditor
Accounts Receivable,Finance,debitor
General Ledger,Finance,
Bank Reconciliation,Finance,
Financial Reporting,Finance,finansiel rapportering
Financial Statements,Finance,årsregnskab
GAAP,Finance,
IFRS,Finance,
Payroll,Finance,løn
Payroll Processing,Finance,lønbogføring|payroll administration
Benefits Administration,Finance,personaleadministration
QuickBooks,Finance,
Xero,Finance,
Sage,Finance,
SAP FICO,Finance,sap fico
Oracle Financials,Finance,
Budgeting,Finance,budget|budgettering
Forecasting,Finance,forecasting|prognose
Financial Planning,Finance,finansiel planlægning
Financial Analysis,Finance,finansiel analyse|financial analysis
Variance Analysis,Finance,
Finance,Finance,økonomi
Corporate Finance,Finance,virksomhedsøkonomi
Investment Banking,Finance,
Private Equity,Finance,
Venture Capital,Finance,
Mergers & Acquisitions,Finance,m&a
Due Diligence,Finance,due diligence
Valuation,Finance,værdiansættelse
Financial Modeling,Finance,finansiel modellering
DCF,Finance,
LBO,Finance,
Portfolio Management,Finance,
Asset Management,Finance,
Wealth Management,Finance,formueforvaltning
Investment Management,Finance,
Risk Analysis,Finance,risikoanalyse
Credit Analysis,Finance,kreditvurdering
Underwriting,Finance,
Lending,Finance,lån
Mortgage,Finance,realkreditlån
Loan Processing,Finance,
Collections,Finance,inkasso
Debt Recovery,Finance,gældsinddrivelse
Treasury,Finance,
Cash Management,Finance,
Banking,Finance,banking
Retail Banking,Finance,
Commercial Banking,Finance,
KYC,Finance,kyc|know your customer
AML,Finance,hvidvask|anti-money laundering
Compliance,Legal,compliance
Regulatory Compliance,Legal,regelsæt
SOX,Legal,
GDPR,Legal,gdpr|persondataforordningen
Data Privacy,Legal,databeskyttelse
Internal Controls,Legal,intern kontrol
Legal Research,Legal,juridisk forskning|legal research
Legal Writing,Legal,juridisk skrivning
Contract Law,Legal,kontraktret
Contract Management,Legal,kontraktstyring
Contract Negotiation,Legal,kontraktforhandling
Intellectual Property,Legal,ip|immaterielle rettigheder
Patent,Legal,patent
Trademark,Legal,varemærke
Copyright,Legal,ophavsret
Employment Law,Legal,ansættelsesret
Corporate Law,Legal,selskabsret
Litigation,Legal,retssager
Legal Documentation,Legal,
Paralegal,Legal,
Case Management,Legal,sagsbehandling
E-Discovery,Legal,
Teaching,Education,undervisning|lærer
Instruction,Education,instruktion
Curriculum Development,Education,læseplan
Lesson Planning,Education,lektionsplanlægning
Classroom Management,Education,klassestyring|classroom management
Student Assessment,Education,elevvurdering
Special Education,Education,specialundervisning|specialpædagogik
Early Childhood Education,Education,småbørnsundervisning|børnehave
K-12 Education,Education,folkeskole|gymnasium
Higher Education,Education,videregående uddannelse
Adult Education,Education,voksenundervisning
Online Teaching,Education,onlineundervisning
E-Learning,Education,e-læring
Learning Management Systems,Education,lms
Moodle,Education,
Canvas,Education,
Blackboard,Education,
Tutoring,Education,lektiehjælp|tutor|privatundervisning
Academic Coaching,Education,
ESL,Education,esl|engelskundervisning
TESOL,Education,
Training,Education,træning
Corporate Training,Education,virksomhedstræning
Employee Development,Education,medarbejderudvikling
Onboarding,HR,onboarding
Facilitation,Education,facilitering
Workshop Facilitation,Education,workshopfacilitering
Instructional Design,Education,instruktionsdesign
Hospitality,Hospitality,hospitality
Hotel Management,Hospitality,hotel|hotelledelse
Front Desk,Hospitality,reception
Concierge,Hospitality,concierge
Guest Relations,Hospitality,gæsterelationer
Guest Services,Hospitality,gæsteservice
Reservations,Hospitality,reservationer
Property Management,Hospitality,ejendomsadministration
Food & Beverage,Hospitality,f&b|mad og drikke
Food Preparation,Hospitality,food prep
Cooking,Hospitality,madlavning
Culinary,Hospitality,kok|chef|køkkenchef
Culinary Arts,Hospitality,
Baking,Hospitality,bagning
Pastry,Hospitality,konditor
Menu Planning,Hospitality,menuplanlægning
Food Safety,Hospitality,fødevaresikkerhed
ServSafe,Hospitality,
Kitchen Management,Hospitality,køkkenstyring
Restaurant Management,Hospitality,restaurant|restaurantledelse
Catering,Hospitality,catering
Banquet,Hospitality,
Barista,Hospitality,barista
Coffee,Hospitality,kaffe
Bartending,Hospitality,bartender
Mixology,Hospitality,mixologi
Wine,Hospitality,vin
Sommelier,Hospitality,sommelier
Serving,Hospitality,tjener
Table Service,Hospitality,servering
Fine Dining,Hospitality,finedining
Housekeeping,Hospitality,housekeeping|house keeper
Room Attendant,Hospitality,stuepige
Laundry,Hospitality,vaskeri
Event Planning,Events,arrangement|eventplanlægning|events
Event Management,Events,eventstyring
Event Coordination,Events,
Wedding Planning,Events,bryllupsplanlægning
Conference Planning,Events,konference
Trade Shows,Events,messer
Exhibitions,Events,udstillinger
Venue Management,Events,
Scheduling,Administrative,planlægning|scheduler
Calendar Management,Administrative,kalender
Appointment Setting,Administrative,aftaler
Administrative Support,Administrative,administration|admin
Administrative Assistant,Administrative,administrativ assistent|sekretær
Executive Assistant,Administrative,direktionsassistent|ea
Office Management,Administrative,kontorstyring
Office Administration,Administrative,kontor|kontoradministration
Reception,Administrative,receptionist
Receptionist,Administrative,
Front Office,Administrative,
Data Management,Administrative,
Filing,Administrative,arkivering
Record Keeping,Administrative,
Document Management,Administrative,dokumentstyring
Travel Arrangements,Administrative,rejsearrangement
Travel Coordination,Administrative,
Expense Reporting,Administrative,udgiftsrapportering
Meeting Coordination,Administrative,mødekoordinering
Minutes Taking,Administrative,referatskrivning
Typing,Administrative,maskinskrivning
Transcription,Administrative,transskription
Dictation,Administrative,
Welding,Trades,svejser|svejsning
MIG Welding,Trades,mig svejsning
TIG Welding,Trades,tig svejsning
Arc Welding,Trades,buesvejsning
Spot Welding,Trades,
Brazing,Trades,
Soldering,Trades,lodning
Metal Fabrication,Trades,metalbearbejdning
Sheet Metal,Trades,pladesmede
Electrical,Trades,elektriker
Electrical Wiring,Trades,
Electrical Installation,Trades,el-installation
Electrical Maintenance,Trades,el-vedligeholdelse
PLC,Trades,plc|plc programmering
SCADA,Trades,scada
Instrumentation,Trades,
Motor Controls,Trades,
Circuitry,Trades,
Troubleshooting,Trades,fejlfinding
Plumbing,Trades,vvs|vvs-installatør
Pipefitting,Trades,rørlægger
HVAC,Trades,hvac|klima
Refrigeration,Trades,køleteknik
Air Conditioning,Trades,aircondition
Heating,Trades,varme
Ventilation,Trades,ventilation
Carpentry,Trades,tømrer
Woodworking,Trades,snedker|træarbejde
Framing,Trades,
Finishing,Trades,
Cabinetry,Trades,skabssnedker
Flooring,Trades,gulvlægger
Roofing,Trades,tagdækker
Masonry,Trades,murer
Bricklaying,Trades,murerarbejde
Concrete,Trades,betonarbejde
Drywall,Trades,gipsarbejde
Painting,Trades,maler|malerarbejde
Decorating,Trades,dekoration
Plastering,Trades,pudsning
Tiling,Trades,fliser|flisemontør
Glazing,Trades,glarmester
Insulation,Trades,isolering
Cleaning,Facilities,rengøring|cleaning
Commercial Cleaning,Facilities,erhvervsrengøring
Residential Cleaning,Facilities,privat rengøring
Deep Cleaning,Facilities,hovedrengøring
Sanitation,Facilities,sanitet
Janitorial,Facilities,rengøringsassistent
Grounds Maintenance,Facilities,
Landscaping,Facilities,anlægsgartner
Gardening,Facilities,gartner|havearbejde
Horticulture,Facilities,
Lawn Care,Facilities,græspleje
Tree Care,Facilities,træpleje
Irrigation,Facilities,vanding
Pest Control,Facilities,skadedyrsbekæmpelse
Pool Maintenance,Facilities,poolvedligeholdelse
Maintenance,Facilities,vedligeholdelse
Building Maintenance,Facilities,bygningsvedligeholdelse|pedel|ejendomsservice
Facility Management,Facilities,facilitystyring
Preventive Maintenance,Facilities,forebyggende vedligeholdelse
Equipment Maintenance,Facilities,udstyrvedligeholdelse
Repair,Facilities,reparation
Handyman,Facilities,handyman|altmuligmand
Chauffeur,Transport,chauffør
Private Driver,Transport,privatchauffør
Security,Security,sikkerhed
Security Guard,Security,sikkerhedsvagt|vagt
Surveillance,Security,overvågning
CCTV,Security,
Access Control,Security,adgangskontrol
Loss Prevention,Security,
Crowd Control,Security,
Executive Protection,Security,
Cybersecurity,IT Security,cybersikkerhed
Information Security,IT Security,it-sikkerhed
Network Security,IT Security,netværkssikkerhed
Application Security,IT Security,applikationssikkerhed
Cloud Security,IT Security,cloudsikkerhed
Endpoint Security,IT Security,
SIEM,IT Security,siem
SOC,IT Security,soc
Incident Response,IT Security,incident response|hændelseshåndtering
Threat Intelligence,IT Security,trusselsintelligens
Vulnerability Management,IT Security,sårbarhedsstyring
Ethical Hacking,IT Security,etisk hacking
Cryptography,IT Security,kryptering
Identity Management,IT Security,identitetsstyring
IAM,IT Security,iam
Zero Trust,IT Security,
Translation,Language,oversættelse|oversætter
Interpretation,Language,tolkning|tolk
Localization,Language,lokalisering
Transcreation,Language,
Subtitling,Language,undertekster
Dubbing,Language,
Language Services,Language,sprogservice
Danish,Language,dansk
English,Language,engelsk
German,Language,tysk
French,Language,fransk
Spanish,Language,spansk
Swedish,Language,svensk
Norwegian,Language,norsk
Finnish,Language,finsk
Dutch,Language,hollandsk
Italian,Language,italiensk
Portuguese,Language,portugisisk
Polish,Language,polsk
Russian,Language,russisk
Arabic,Language,arabisk
Chinese,Language,kinesisk
Japanese,Language,japansk
Korean,Language,koreansk
Hindi,Language,
Copy Editing,Writing,korrekturlæsning
Research,Research,research|forskning
Academic Research,Research,akademisk forskning
Qualitative Research,Research,kvalitativ forskning
Quantitative Research,Research,kvantitativ forskning
Survey Design,Research,spørgeskemaer
Interviews,Research,interviews
Focus Groups,Research,fokusgrupper
Procurement,Procurement,indkøb
Purchasing,Procurement,indkøber
Sourcing,Procurement,sourcing
Strategic Sourcing,Procurement,
Vendor Management,Procurement,leverandørstyring
Supplier Relations,Procurement,leverandørrelationer
Contract Administration,Procurement,
RFP,Procurement,rfp
RFQ,Procurement,rfq
Negotiation Skills,Procurement,
Cost Reduction,Procurement,omkostningsreduktion
Human Resources,HR,hr|personale|menneskelige ressourcer
HR,HR,
Talent Acquisition,HR,talenterhvervelse
Recruiting,HR,rekruttering
Sourcing Candidates,HR,kandidatsøgning
Interviewing,HR,interviewteknik
Hiring,HR,ansættelse
Employee Relations,HR,medarbejderrelationer
Performance Management,HR,performance management|præstationsstyring
Compensation,HR,kompensation
Benefits,HR,benefits|personalegoder
HRIS,HR,hris
Workday,HR,workday
ADP,HR,adp
BambooHR,HR,bamboohr
SAP SuccessFactors,HR,successfactors
Employee Engagement,HR,medarbejderengagement
Retention,HR,fastholdelse
Diversity & Inclusion,HR,mangfoldighed|d&i
Labor Relations,HR,arbejdsmarkedsrelationer
Conflict Resolution,HR,konfliktløsning
Mediation,HR,mægling
Coaching,Soft Skills,coaching
Mentoring,Soft Skills,mentoring|mentorordning
Leadership,Soft Skills,ledelse|lederskab
Team Leadership,Soft Skills,teamledelse
People Management,Soft Skills,personaleledelse
Team Building,Soft Skills,teambuilding
Delegation,Soft Skills,delegering
Decision Making,Soft Skills,beslutningstagning
Strategic Thinking,Soft Skills,strategisk tænkning
Critical Thinking,Soft Skills,kritisk tænkning
Problem Solving,Soft Skills,problemløsning
Analytical Skills,Soft Skills,analytiske evner|analytisk
Attention to Detail,Soft Skills,detaljeorienteret|grundighed
Time Management,Soft Skills,tidsstyring
Prioritization,Soft Skills,prioritering
Multitasking,Soft Skills,multitasking
Organization,Soft Skills,organisation|organisationsevne
Planning,Soft Skills,
Goal Setting,Soft Skills,målsætning
Communication,Soft Skills,kommunikation
Written Communication,Soft Skills,skriftlig kommunikation
Verbal Communication,Soft Skills,mundtlig kommunikation
Interpersonal Skills,Soft Skills,interpersonelle evner
Collaboration,Soft Skills,samarbejde
Teamwork,Soft Skills,teamwork
Cross-functional Collaboration,Soft Skills,tværfagligt samarbejde
Remote Work,Soft Skills,fjernarbejde|hjemmearbejde
Virtual Collaboration,Soft Skills,virtuelt samarbejde
Adaptability,Soft Skills,omstillingsparathed
Flexibility,Soft Skills,fleksibilitet
Resilience,Soft Skills,robusthed
Stress Management,Soft Skills,stresshåndtering
Emotional Intelligence,Soft Skills,følelsesmæssig intelligens|eq
Empathy,Soft Skills,empati
Active Listening,Soft Skills,aktiv lytning
Customer Focus,Soft Skills,kundefokus
Service Orientation,Soft Skills,serviceorienteret
Initiative,Soft Skills,initiativ
Self-Motivation,Soft Skills,selvmotivation
Accountability,Soft Skills,ansvarlighed
Integrity,Soft Skills,integritet
Ethics,Soft Skills,etik
Professionalism,Soft Skills,professionalisme
Work Ethic,Soft Skills,arbejdsmoral
Reliability,Soft Skills,pålidelighed
Punctuality,Soft Skills,punktlighed
